 Time ,Mass ,LongitudinalMOI,RotationalMOI,CPLocation ,CGLocation,Mach number
4.55,14.657006,5.666661,0.039178,1.52729,1.108564,0.82709
4.6,14.657006,5.666661,0.039178,1.526991,1.108564,0.823267
4.65,14.657006,5.666661,0.039178,1.526594,1.108564,0.819478
4.7,14.657006,5.666661,0.039178,1.525666,1.108564,0.815716
4.75,14.657006,5.666661,0.039178,1.52515,1.108564,0.811974
4.8,14.657006,5.666661,0.039178,1.524843,1.108564,0.808279
4.85,14.657006,5.666661,0.039178,1.523975,1.108564,0.804604
4.9,14.657006,5.666661,0.039178,1.523649,1.108564,0.800961
4.95,14.657006,5.666661,0.039178,1.523291,1.108564,0.79737
5,14.657006,5.666661,0.039178,1.522124,1.108564,0.793759
5.05,14.657006,5.666661,0.039178,1.521795,1.108564,0.7902
5.1,14.657006,5.666661,0.039178,1.521813,1.108564,0.78665
5.15,14.657006,5.666661,0.039178,1.521089,1.108564,0.783125
5.2,14.657006,5.666661,0.039178,1.520249,1.108564,0.779633
5.25,14.657006,5.666661,0.039178,1.520359,1.108564,0.776151
5.3,14.657006,5.666661,0.039178,1.519693,1.108564,0.772702
5.35,14.657006,5.666661,0.039178,1.519218,1.108564,0.769288
5.4,14.657006,5.666661,0.039178,1.51911,1.108564,0.765903
5.45,14.657006,5.666661,0.039178,1.518647,1.108564,0.762521
5.5,14.657006,5.666661,0.039178,1.518026,1.108564,0.759173
5.55,14.657006,5.666661,0.039178,1.517561,1.108564,0.755848
5.6,14.657006,5.666661,0.039178,1.516867,1.108564,0.752515
5.65,14.657006,5.666661,0.039178,1.516721,1.108564,0.749236
5.7,14.657006,5.666661,0.039178,1.51645,1.108564,0.745965
5.75,14.657006,5.666661,0.039178,1.515718,1.108564,0.742724
5.8,14.657006,5.666661,0.039178,1.515096,1.108564,0.739511
5.85,14.657006,5.666661,0.039178,1.515124,1.108564,0.736305
5.9,14.657006,5.666661,0.039178,1.514402,1.108564,0.733119
5.95,14.657006,5.666661,0.039178,1.51362,1.108564,0.72994
6,14.657006,5.666661,0.039178,1.513989,1.108564,0.726811
6.05,14.657006,5.666661,0.039178,1.513404,1.108564,0.723672
6.1,14.657006,5.666661,0.039178,1.512726,1.108564,0.720565
6.15,14.657006,5.666661,0.039178,1.512539,1.108564,0.717469
6.2,14.657006,5.666661,0.039178,1.512235,1.108564,0.714387
6.25,14.657006,5.666661,0.039178,1.511977,1.108564,0.711344
6.3,14.657006,5.666661,0.039178,1.511533,1.108564,0.708307
6.35,14.657006,5.666661,0.039178,1.511294,1.108564,0.705292
6.4,14.657006,5.666661,0.039178,1.510894,1.108564,0.702291
6.45,14.657006,5.666661,0.039178,1.510064,1.108564,0.69933
6.5,14.657006,5.666661,0.039178,1.510206,1.108564,0.696354
6.55,14.657006,5.666661,0.039178,1.509559,1.108564,0.693402
6.6,14.657006,5.666661,0.039178,1.509004,1.108564,0.690461
6.65,14.657006,5.666661,0.039178,1.50882,1.108564,0.687537
6.7,14.657006,5.666661,0.039178,1.508102,1.108564,0.684666
6.75,14.657006,5.666661,0.039178,1.507858,1.108564,0.681776
6.8,14.657006,5.666661,0.039178,1.508025,1.108564,0.6789
6.85,14.657006,5.666661,0.039178,1.507343,1.108564,0.676035
6.9,14.657006,5.666661,0.039178,1.50696,1.108564,0.673197
6.95,14.657006,5.666661,0.039178,1.50668,1.108564,0.670362
7,14.657006,5.666661,0.039178,1.50655,1.108564,0.667533
