Altitude ,density 
3480.648,0.865
3482.371,0.865
3484.069,0.865
3485.743,0.865
3487.391,0.864
3489.015,0.864
3490.614,0.864
3492.188,0.864
3493.737,0.864
3495.262,0.864
3496.762,0.864
3498.237,0.863
3499.687,0.863
3501.112,0.863
3502.513,0.863
3503.889,0.863
3505.24,0.863
3506.567,0.863
3507.869,0.863
3509.146,0.862
3510.398,0.862
3511.626,0.862
3512.829,0.862
3514.008,0.862
3515.162,0.862
3516.291,0.862
3517.395,0.862
3518.475,0.862
3519.53,0.862
3520.561,0.861
3521.567,0.861
3522.548,0.861
3523.505,0.861
3524.438,0.861
3525.345,0.861
3526.228,0.861
3527.087,0.861
3527.921,0.861
3528.73,0.861
3529.515,0.861
3530.275,0.861
3531.011,0.861
3531.722,0.86
3532.409,0.86
3533.071,0.86
3533.709,0.86
3534.322,0.86
3534.91,0.86
3535.475,0.86
3536.014,0.86
3536.529,0.86
3537.02,0.86
3537.486,0.86
3537.928,0.86
3538.345,0.86
3538.737,0.86
3539.106,0.86
3539.449,0.86
3539.768,0.86
3540.063,0.86
3540.334,0.86
3540.579,0.86
3540.801,0.86
3540.998,0.86
3541.17,0.86
3541.318,0.86
3541.442,0.86
3541.541,0.86
3541.615,0.86
3541.665,0.86
3541.691,0.86
3541.692,0.86
3541.669,0.86
3541.546,0.86
3541.319,0.86
3540.99,0.86
3540.556,0.86
3540.015,0.86
3539.367,0.86
3538.608,0.86
3537.735,0.86
3536.744,0.86
3535.633,0.86
3534.394,0.86
3533.024,0.86
3531.515,0.86
3529.861,0.861
3528.051,0.861
3526.078,0.861
3523.928,0.861
3521.589,0.861
3519.047,0.862
3516.282,0.862
3513.274,0.862
3509.998,0.862
3506.426,0.863
3502.521,0.863
3498.24,0.863
3493.532,0.864
3488.329,0.864
3482.548,0.865
3476.081,0.865
3468.782,0.866
3460.456,0.867
3450.823,0.868
3439.465,0.869
3425.724,0.87
3408.458,0.872
3390.408,0.873
3372.013,0.875
3353.358,0.877
3334.509,0.879
3315.519,0.88
3296.425,0.882
3277.26,0.884
3258.044,0.886
3238.797,0.887
3219.529,0.889
3200.252,0.891
3180.973,0.893
3161.696,0.894
3142.427,0.896
3123.167,0.898
3103.92,0.9
3084.687,0.901
3065.469,0.903
3046.268,0.905
3027.082,0.907
3007.914,0.908
2988.764,0.91
2969.631,0.912
2950.516,0.914
2931.42,0.916
2912.342,0.918
2893.283,0.919
2874.243,0.921
2855.222,0.923
2836.219,0.925
2817.236,0.927
